id,method,value
1,qp_ns,1326488.9408058585
2,qp_ns,1309945.7053336352
3,qp_ns,1322128.2882547313
4,qp_ns,1328180.2836720047
5,qp_ns,1328387.0854291953
6,qp_ns,1326277.7682797476
7,qp_ns,1312541.3108366376
8,qp_ns,1328294.285801383
9,qp_ns,1338042.1247200042
10,qp_ns,1328102.2759230414
11,qp_ns,1321797.1344918718
12,qp_ns,1328928.3026459757
13,qp_ns,1327722.999239394
14,qp_ns,1325873.6431470253
15,qp_ns,1338851.5229118
16,qp_ns,1323673.8417936212
17,qp_ns,1304867.9668221339
18,qp_ns,1303238.7536622877
19,qp_ns,1328280.359606229
20,qp_ns,1326796.5369696305
21,qp_ns,1367833.4322632966
22,qp_ns,1322465.3796262445
23,qp_ns,1322214.8995102672
24,qp_ns,1323900.125665756
25,qp_ns,1328117.1515999092
26,qp_ns,1331613.8859688982
27,qp_ns,1319852.3926217465
28,qp_ns,1316887.6782693435
29,qp_ns,1343495.2280121788
30,qp_ns,1310495.7144850867
31,qp_ns,1310363.6537251477
32,qp_ns,1319396.7304496649
33,qp_ns,1315688.0695798672
34,qp_ns,1302431.355824946
35,qp_ns,1300882.4298751773
36,qp_ns,1363303.9243824515
37,qp_ns,1319812.811257686
38,qp_ns,1338802.6967212118
39,qp_ns,1311574.9527104555
40,qp_ns,1329325.3405504671
41,qp_ns,1325015.4761455487
42,qp_ns,1320636.6412644652
43,qp_ns,1338076.346814947
44,qp_ns,1303332.9845502141
45,qp_ns,1310410.5119430276
46,qp_ns,1332208.2474856076
47,qp_ns,1326543.139924617
48,qp_ns,1329203.9481391327
49,qp_ns,1331455.6202172616
50,qp_ns,1326574.0994765162
51,qp_ns,1319497.1739526908
52,qp_ns,1311132.3728832472
53,qp_ns,1329535.0428416855
54,qp_ns,1338765.699280433
55,qp_ns,1327963.2603015113
56,qp_ns,1326041.784653641
57,qp_ns,1330033.9435731324
58,qp_ns,1310541.79900744
59,qp_ns,1305446.1947493125
60,qp_ns,1311545.230493257
61,qp_ns,1336966.7058831926
62,qp_ns,1326748.000202494
63,qp_ns,1302824.5798090803
64,qp_ns,1348284.7719431678
65,qp_ns,1316741.9709151092
66,qp_ns,1336780.8877926276
67,qp_ns,1334234.4143957668
68,qp_ns,1310801.335928526
69,qp_ns,1307976.8111742414
70,qp_ns,1332291.1879023893
71,qp_ns,1333045.808737022
72,qp_ns,1325441.380377444
73,qp_ns,1301108.8213765563
74,qp_ns,1339748.0282857716
75,qp_ns,1330634.799974882
76,qp_ns,1332884.1739983014
77,qp_ns,1310279.100017094
78,qp_ns,1329754.737355232
79,qp_ns,1349431.4924322707
80,qp_ns,1302832.1652898544
81,qp_ns,1350896.1252138598
82,qp_ns,1346175.0543822043
83,qp_ns,1336270.9013739412
84,qp_ns,1310464.451337823
