V1,V2,V3,V4
13215.519023735924,13466.733185807132,13014.307624534631,13307.481093974386
26441.348497740826,26556.249267390907,26599.74123940514,26630.691496492695
40502.94034859513,40245.860892844175,39052.29614942701,39606.63998198754
53253.815696736245,53259.70499002093,52694.799419237424,52386.30570253227
67513.66741603856,67319.03073717738,68770.81412424798,66147.99637813352
79050.88940320504,80654.11232777659,77345.30566505778,78591.69461204726
93330.68616170286,95274.78290360152,91703.89899779447,92526.58165836542
104971.37295302277,109073.1682047843,104634.11808670602,104728.38299258234
123171.5802916351,122624.26493360318,118404.94133859407,118155.14550207657
131237.5253165094,136270.87875978227,131330.50304435845,131228.57743517263
144586.58215880877,147718.7308700944,144390.0036166904,143960.7960707581
157562.7443373543,158997.96176861055,157155.05708864616,156927.04720247528
170935.75616723858,174607.7201553874,170391.52051303381,170389.9940489246
183869.79028319742,183724.90862415783,183531.97652888048,183078.16930714052
198481.59658668184,198703.08889582875,196344.46218783452,196160.29824320326
211728.4585079594,218320.58341292889,209325.6451334955,210097.24219067994
229066.34279692388,228326.43257943026,224431.72056698005,224443.09900111353
238369.43122805568,237260.48872095053,232635.944591187,235956.54475074826
254269.60931568607,259337.46368678517,248956.41410110533,249034.5218635681
264724.2436681322,268730.35256683535,261096.023726197,258661.7778937823
279788.5362257829,286742.4056923133,274622.7944127528,273188.2487334883
287420.3693961815,300339.76920630044,290359.1125638782,288707.74319295137
300187.71795282577,313608.68129186216,303008.1072806834,305973.1225409519
315717.5170346441,322803.5534966039,314766.6130701109,316473.6994945467
334075.22776586784,331211.2275576967,330232.3763553989,330231.9976662235
341931.29862723366,355415.1311078809,340177.23529436335,340919.54782513046
353136.2262261409,369799.4250237332,355217.5938266439,355067.90648649645
365699.0376761799,369341.0107957725,367059.7743602283,367747.5621784991
389732.2905776616,395477.38191234664,381448.1717783076,381258.0398422581
393604.4768014697,409359.36053325504,404820.2090846551,394796.36490074376
409977.93712791835,416581.48370536347,408043.16343420814,408090.016569557
420910.02087450476,424552.3742885917,420612.44033811387,421293.7682324366
434365.96865647595,444180.81966642453,434627.2826159169,437099.43836183794
450163.4574230141,463710.5919711109,446420.3752654768,446591.26377585216
465821.3851634823,477493.10762535944,454996.32794091455,460994.9208118776
473359.14653893077,490385.1575963818,471460.4683505858,472021.4283892058
488169.12831038964,498284.7800779616,487030.0107760298,487028.5733472139
503024.0315565962,503494.3317015593,498099.38584884483,495036.4366819329
516680.15813125204,523172.02354361943,512936.78458098735,516310.69092727173
532976.2461530272,537611.7030115416,517718.35454763134,527765.8986731643
542710.0410408697,552175.3742058236,537195.9653748949,535807.1530605973
553045.8402372644,556497.5479161305,550100.9460632108,554152.4452981529
566399.8041697505,569464.2463799013,564007.5050523593,558693.4353177523
583568.8998050082,588219.6043186415,571686.3723937947,580439.6832311334
605846.2547132418,605710.3871767464,585782.4101878866,589353.1073251443
617589.6863358723,609512.9547691245,601718.5486694236,606821.5485115373
615187.4250659143,632810.6162555785,620009.6533821943,611266.4847767017
633735.1428211477,640135.3321779745,627445.2589125588,633194.5168296127
649957.2084406003,659822.9484503012,644839.3927206991,638403.5795077597
663194.3311261153,674118.1717539032,644401.8378483425,653903.4465842702
684035.413784065,696052.7980926035,671297.2314698424,669646.9161598596
683528.2818353552,711690.9906431908,682989.3653664984,684192.6460292
703248.7908744935,723805.0250314495,697406.2500149761,704992.360471571
721042.5811695515,736951.4543087796,710799.7312360369,710783.9939870378
728584.8563431666,751256.6402463733,741532.2339380799,715942.5439796171
752407.2242294694,753098.2578796209,737117.1398811529,737414.4005173325
756008.6720811521,780381.34120113,750373.7002737158,750272.8196270721
775971.2813672686,780098.888400899,763749.7703675011,765718.2463910853
787101.5251933904,793474.2838838181,772680.3542874495,773378.6327944316
785844.5392033958,818680.1394504926,785608.5119459131,790988.8456900504
798161.7639814167,820350.283661281,792451.5042089522,804696.2236521598
816274.763515701,846785.2872954209,818548.1476203537,811982.5945285601
835555.3310829872,839614.6999598867,831079.9287979633,825079.0276970699
875095.1839496592,853066.023149361,825141.2402257251,824725.535127148
867178.0435591392,886359.5527159435,853215.3368197228,857460.9723335006
875374.7120379114,901371.4228962315,850832.9283044402,870648.1586124388
877101.5982061636,917071.6219432157,865123.2754742736,883845.1378598945
902419.8123798133,906455.990062736,895368.2864784417,894682.1200488019
912388.8852126038,920086.1610995472,908030.5831448643,908525.9168948808
926507.9603285508,927961.5845698058,919122.5330700012,911959.1257110294
942029.1514916101,953660.2937762294,943689.4075878575,934330.2514325329
946270.1205642346,969262.7277435996,937162.9424731213,947111.7875284284
958853.3638803915,967500.8044543104,961014.142110756,960512.6165701462
987253.7561534089,1009897.4432341263,973811.0934432395,974550.1776669954
975025.3862636439,1025094.0901357168,984899.3295230917,976094.2479774929
1006765.4431166396,1036897.6103741518,998127.9562808595,989091.4695961942
1012654.3963661509,1051883.622117181,1014090.3613318258,1013870.2785796011
1026846.1940225319,1064598.220180589,1026689.4579925565,1027038.3734512974
1033259.1878523399,1078009.169763011,1039859.0720992322,1033554.6082637791
1067515.3340169454,1092615.9418735355,1055329.6563038612,1055324.0951324683
1080859.2693683596,1105541.7725681588,1068515.69307351,1061055.3721774758
1100559.7146337393,1123440.0143190562,1074151.541994071,1081913.6218635458
1134300.1898090027,1132996.7527469692,1087696.043048338,1095548.4247714987
1098436.1479772828,1150484.6424651938,1100316.611025817,1108747.6977827833
1127747.0413123337,1159847.3719469612,1111366.907779236,1105171.0089903036
1124574.1682418233,1173292.0432791656,1126207.9170129963,1126494.4999675222
1188966.4100140196,1186816.632414538,1139672.7701954152,1139290.024797821
1185758.6416603155,1203627.763797728,1154412.2610688612,1152781.66131042
1163957.1464779929,1213757.2581584465,1166212.7321830594,1167526.1929210501
1207636.8617174963,1233050.0534837102,1180692.2426812719,1180590.3689447886
1211417.722531354,1241230.377010565,1191964.469090008,1193810.3573048247
1239872.6335662596,1254860.5546800455,1203102.6112322928,1206928.0169120554
1216270.2180484934,1223434.8490887184,1216926.0846275296,1216203.9880334912
1258853.3685033547,1285668.4054641004,1229290.1980928022,1231341.6927933153
1244752.6260280677,1276884.6786560996,1241878.045461407,1232798.677761465
1265934.8772245122,1309719.4395140717,1257629.4296680205,1252971.0428637555
1270959.1109274353,1279403.6277734584,1272803.7806897168,1270363.4490798088
1292327.959738666,1319049.0566989486,1285925.109404429,1283459.7575429934
1307196.0095768145,1330568.7650797484,1295440.142834936,1296536.4073596185
1318549.158959472,1366083.1609710313,1309623.2013906592,1311747.209188576
